quarter_end,quarter,year,region,market,total_subscriptions,subscription_penetration_%,subscriber_penetration,TAM,SOM
9/30/2025,Q3,2025,APAC,TW,5490199.878,0.029615328,162594.0728,373966.3674,200348.5147
9/30/2025,Q3,2025,APAC,VN,6260738.019,0,0,0,0
9/30/2025,Q3,2025,EMEA,AE,2829837.541,0.034549579,97769.69441,224870.2971,141904.8045
9/30/2025,Q3,2025,EMEA,AL,61502.07939,0,0,0,0
9/30/2025,Q3,2025,EMEA,AT,3665532.082,0.053247018,195178.6518,448910.8991,248145.9488
9/30/2025,Q3,2025,EMEA,BA,163250.4854,0,0,0,0
9/30/2025,Q3,2025,EMEA,BE,5030830.26,0.053839534,270857.555,622972.3764,355937.1728
9/30/2025,Q3,2025,EMEA,BG,312553.9854,0.016263044,5083.079104,11691.08194,6360.115402
9/30/2025,Q3,2025,EMEA,BH,145019.091,0.00812248,1177.914679,2709.203761,2036.678608
9/30/2025,Q3,2025,EMEA,CH,4730726.058,0.047010301,222392.8541,511503.5645,272242.8976
9/30/2025,Q3,2025,EMEA,CY,308457.0902,0,0,0,0
9/30/2025,Q3,2025,EMEA,CZ,1188341.579,0.032006682,38034.87081,87480.20287,49748.33496
9/30/2025,Q3,2025,EMEA,DE,39273779.09,0.056003605,2199473.22,5058788.407,2582038.039
9/30/2025,Q3,2025,EMEA,DK,3911973.212,0.068526146,268072.4479,616566.6301,330329.3009
9/30/2025,Q3,2025,EMEA,DZ,312285.2633,0.014592092,4556.895144,10480.85883,6996.80072
9/30/2025,Q3,2025,EMEA,EE,288650.8045,0.01260093,3637.268659,8365.717915,4637.24238
9/30/2025,Q3,2025,EMEA,EG,702803.6684,0.017762577,12483.60422,28712.2897,15523.6937
9/30/2025,Q3,2025,EMEA,ES,20692845.35,0.048918624,1012265.525,2328210.707,1318351.516
9/30/2025,Q3,2025,EMEA,FI,4076255.447,0.065124878,265465.6382,610570.9679,296813.6741
9/30/2025,Q3,2025,EMEA,FR,32832205.97,0.065420126,2147887.056,4940140.229,2780166.441
9/30/2025,Q3,2025,EMEA,GB,45160066.46,0.060507185,2732508.514,6284769.583,3243642.91
9/30/2025,Q3,2025,EMEA,GH,171743.1089,0,0,0,0
9/30/2025,Q3,2025,EMEA,GR,1339385.555,0.042648225,57122.41621,131381.5573,75666.90475
9/30/2025,Q3,2025,EMEA,HR,436646.6145,0.021659348,9457.480864,21752.20599,9871.185686
9/30/2025,Q3,2025,EMEA,HU,1025483.033,0.042483261,43565.86353,100201.4861,52742.04839
9/30/2025,Q3,2025,EMEA,IE,2039155.227,0.051987034,106009.6319,243822.1533,134442.9204
9/30/2025,Q3,2025,EMEA,IL,1273025.977,0,0,0,0
9/30/2025,Q3,2025,EMEA,IQ,151606.8753,0.003898526,591.043291,1359.399569,888.4271358
9/30/2025,Q3,2025,EMEA,IR,21904.42515,0,0,0,0
9/30/2025,Q3,2025,EMEA,IS,202220.0356,0.018195089,3679.411473,8462.646389,5791.985068
9/30/2025,Q3,2025,EMEA,IT,16156205.7,0.04986337,805602.8625,1852886.584,996784.9848
9/30/2025,Q3,2025,EMEA,JO,291944.423,0.003944751,1151.647932,2648.790245,1886.711384
9/30/2025,Q3,2025,EMEA,KE,453080.6963,0,0,0,0
9/30/2025,Q3,2025,EMEA,KW,277267.4993,0.00291882,809.2937839,1861.375703,1043.467876
9/30/2025,Q3,2025,EMEA,LB,217240.8645,0.00537184,1166.983257,2684.06149,1968.312742
9/30/2025,Q3,2025,EMEA,LT,334067.4758,0.010474415,3499.161223,8048.070813,4711.486265
9/30/2025,Q3,2025,EMEA,LU,183321.5651,0,0,0,0
9/30/2025,Q3,2025,EMEA,LV,178787.5356,0.009506077,1699.567995,3909.006389,2339.493995
9/30/2025,Q3,2025,EMEA,MA,529506.9209,0.013430206,7111.386841,16356.18974,10188.41165
9/30/2025,Q3,2025,EMEA,MT,282250.4308,0,0,0,0
9/30/2025,Q3,2025,EMEA,NG,626214.4623,0,0,0,0
9/30/2025,Q3,2025,EMEA,NL,9863001.428,0.064250598,633703.7419,1457518.606,740261.6381
9/30/2025,Q3,2025,EMEA,NO,8391872.237,0.065411267,548922.9956,1262522.89,659024.2923
9/30/2025,Q3,2025,EMEA,OM,244197.491,0.004006445,978.3639126,2250.236999,1722.040477
9/30/2025,Q3,2025,EMEA,PL,8000513.308,0.056136172,449118.1888,1032971.834,547732.6904
9/30/2025,Q3,2025,EMEA,PT,2580406.725,0.048160687,124274.1602,285830.5685,159633.5102
9/30/2025,Q3,2025,EMEA,QA,407934.9916,0.006478065,2642.629547,6078.047959,4996.850484
9/30/2025,Q3,2025,EMEA,RO,1482230.435,0.050162931,74353.02351,171011.9541,97398.58457
9/30/2025,Q3,2025,EMEA,RS,392459.6842,0,0,0,0
9/30/2025,Q3,2025,EMEA,SA,1905322.233,0.037071562,70633.27206,162456.5257,102290.3342
9/30/2025,Q3,2025,EMEA,SE,6736518.542,0.062556515,421413.1218,969250.1801,500917.0856
9/30/2025,Q3,2025,EMEA,SI,281458.1373,0,0,0,0
9/30/2025,Q3,2025,EMEA,SK,524767.8993,0.009130561,4791.425253,11020.27808,7736.181244
9/30/2025,Q3,2025,EMEA,TN,529937.4459,0,0,0,0
9/30/2025,Q3,2025,EMEA,TR,11887023.77,0.061907276,735893.2568,1692554.491,947537.55
9/30/2025,Q3,2025,EMEA,UA,519072.3945,0,0,0,0
9/30/2025,Q3,2025,EMEA,ZA,909366.6692,0.09414662,85613.79782,196911.735,121007.0769
9/30/2025,Q3,2025,LATAM,AR,21570998.74,0.048624437,1048877.668,2412418.637,1431624.465
9/30/2025,Q3,2025,LATAM,BR,58612828.41,0.062966367,3690636.885,8488464.837,4449322.878
9/30/2025,Q3,2025,LATAM,CL,9151431.114,0.043120284,394612.3064,907608.3046,511962.1021
9/30/2025,Q3,2025,LATAM,CO,14794978.52,0.039397446,582884.3679,1340634.046,778211.3725
