talent,parrot_id,country,non_home_demand,home_demand,flag
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,VN,0.002,,https://flagicons.lipis.dev/flags/4x3/vn.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,IR,0.001,,https://flagicons.lipis.dev/flags/4x3/ir.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,PA,0.001,,https://flagicons.lipis.dev/flags/4x3/pa.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,OM,0.001,,https://flagicons.lipis.dev/flags/4x3/om.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,SI,0.001,,https://flagicons.lipis.dev/flags/4x3/si.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,LU,0.001,,https://flagicons.lipis.dev/flags/4x3/lu.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,SK,0.001,,https://flagicons.lipis.dev/flags/4x3/sk.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,HR,0.001,,https://flagicons.lipis.dev/flags/4x3/hr.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,TW,0.001,,https://flagicons.lipis.dev/flags/4x3/tw.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,LT,0.001,,https://flagicons.lipis.dev/flags/4x3/lt.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,LV,0.001,,https://flagicons.lipis.dev/flags/4x3/lv.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,CY,0,,https://flagicons.lipis.dev/flags/4x3/cy.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,QA,0,,https://flagicons.lipis.dev/flags/4x3/qa.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,BN,0,,https://flagicons.lipis.dev/flags/4x3/bn.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,MT,0,,https://flagicons.lipis.dev/flags/4x3/mt.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,KW,0,,https://flagicons.lipis.dev/flags/4x3/kw.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,AL,0,,https://flagicons.lipis.dev/flags/4x3/al.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,BH,0,,https://flagicons.lipis.dev/flags/4x3/bh.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,WW,,,https://flagicons.lipis.dev/flags/4x3/ww.svg
Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,US,,2.248,https://flagicons.lipis.dev/flags/4x3/us.svg
Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,US,1.168,,https://flagicons.lipis.dev/flags/4x3/us.svg
