parrot_id,short_id,name,content_type,home_country,country,average_demand,peak_demand,market_standing,market_travelability_index
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,IE,0.14863861380533688,3.02634842848378,Average,0.0035985181461686616
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,KE,0.14118763534544165,12.826367786751739,Average,0.0034181310952657276
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,HR,0.12854886486121153,4.096468829074539,Average,0.0031121483915227655
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,BD,0.1063535416266995,0.3635733348909794,Average,0.0025748030047844862
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,MY,0.09909772051063716,1.1809936285321347,Average,0.0023991406833792353
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,LB,0.09822558399904531,0.5675931326833727,Average,0.0023780263915909004
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,BG,0.07715254084879708,2.8628832489004603,Average,0.0018678512343435665
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,IQ,0.07459709117027294,0.4549824928146788,Average,0.0018059841877910924
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,ID,0.07006025890589324,2.0441456349970446,Average,0.0016961481713514152
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,BA,0.0646810485214964,6.859579978619618,Average,0.0015659183092399328
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,PA,0.05551746986168851,2.9251905607325552,Average,0.0013440694689759326
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,SG,0.05120861581630825,2.538037383971674,Average,0.0012397527704106478
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,KW,0.04759758997725865,7.413057762804029,Average,0.0011523303861766167
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,PY,0.04500189445177495,0.5559491029903315,Average,0.0010894889938139647
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,KR,0.04423889726276299,0.8324271835977122,Average,0.0010710169483619596
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,NZ,0.03654508273838709,1.0329854421454594,Average,0.0008847508734140202
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,PR,0.03451984945477721,0.4505665334387897,Average,0.0008357202848292845
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,SI,0.03293531414647301,0.23832405524033828,Average,0.0007973589269411844
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,JO,0.026652710587540117,0.1595836891569807,Average,0.0006452580540037373
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,VN,0.02509267880611002,0.17187580465837082,Average,0.0006074899227600747
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,LV,0.024068831701445394,0.09728482734646471,Average,0.0005827027406765346
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,MK,0.02000104686253263,0.5874148098635147,Average,0.00048422229079351923
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,HK,0.015811713003602772,0.34966043272055586,Average,0.00038279915769392494
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,JM,0.014735213883135026,0.24476748563489462,Average,0.00035673727834667084
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,TT,0.011314625896909335,0.7097843800536898,Average,0.0002739253654535643
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,MT,0.008761714077768726,0.04328744976112054,Below Average,0.00021211976008928658
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,TW,0.006637229724969759,0.1050242113872822,Below Average,0.00016068631827307952
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,CY,0.006594567368100024,0.22938569524853458,Below Average,0.0001596534691269275
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,BH,0.0033299428056437173,0.3386535385893961,Below Average,8.061740691087134e-05
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,OM,0.0013837744363891763,0.01737857818597226,Below Average,3.350096783109244e-05
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,BN,0.0006173230035013214,0.0021250496887378566,Below Average,1.4945295662243884e-05
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,IS,0.00019463739801809654,0.001649347459159293,Below Average,4.712141688891507e-06
05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,Omar Sy,talent,FR,AL,9.950563976223955e-05,0.0006544270835352971,Below Average,2.4090163461796514e-06
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,ZA,8.504201307652473,85.86603318935289,Outstanding,0.9999999999999996
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,WW,0.16086628485748924,1.9877878183515125,Average,0.018916095590626986
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,US,0.11010745748454964,2.7410527095012176,Average,0.012947418987538527
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,IN,0.04414394235028428,0.8124382515911046,Average,0.005190839298519604
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,DE,0.04298361010178755,0.5880308955111806,Average,0.005054397061733345
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,GB,0.03807277373241347,1.1331283270899375,Average,0.0044769370285430345
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,NG,0.03461821928745227,0.53078567640261,Average,0.004070719640220791
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,PK,0.027657004662000773,0.4498951470491682,Average,0.0032521578054735974
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,PH,0.026555779219057843,0.8869452566727462,Average,0.0031226658751788623
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,FR,0.025181676775009106,0.16121191346334685,Average,0.002961086628129259
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,CA,0.01669322270491951,0.9611445757045041,Average,0.001962938329070147
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,PE,0.016467366115675407,0.670716089284439,Average,0.0019363800926087327
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,RU,0.014043820568633259,0.174983433999827,Average,0.0016513979456243557
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,NL,0.012675391549123371,0.550212025049847,Average,0.0014904858305408955
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,MX,0.010524013883962166,0.09442847229106771,Average,0.001237507615734845
1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,Pearl Thusi,talent,ZA,ID,0.010031150513522906,0.2737941343573951,Average,0.0011795523354434718
